Tag,TotalQuestions,AnsweredQuestions,PctAnswered,AvgViews
"beans","260","127","48.84615384615385","17031.188461538462"
"seafood","139","68","48.92086330935252","13819.906474820144"
"cookbook","49","24","48.97959183673469","2099.877551020408"
"puff-pastry","49","24","48.97959183673469","19272.530612244896"
"cut-of-meat","55","27","49.09090909090909","24961.236363636363"
"soaking","59","29","49.152542372881356","23469.661016949154"
"seasoning","181","89","49.171270718232044","10857.99447513812"
"french-fries","61","30","49.18032786885246","11983.262295081968"
"pumpkin","63","31","49.2063492063492","7273.666666666667"
"cooking-time","335","165","49.25373134328358","20754.241791044777"
"flavor","704","347","49.28977272727273","9898.238636363636"
"tofu","75","37","49.333333333333336","5388.826666666667"
"yogurt","214","106","49.532710280373834","11042.317757009347"
"batter","115","57","49.56521739130435","13096.626086956521"
"pickling","123","61","49.59349593495935","11402.50406504065"
"yeast","326","162","49.693251533742334","17742.527607361964"
"pastry","177","88","49.717514124293785","8211.841807909605"
"potatoes","342","171","50","18269.543859649122"
"molecular-gastronomy","74","37","50","3411.472972972973"
"fresh","94","47","50","13810.712765957447"
"korean-cuisine","38","19","50","12064.421052631578"
"mayonnaise","72","36","50","11831.875"
"bell-peppers","34","17","50","25687.41176470588"
"cabbage","46","23","50","5583.347826086957"
"broiling","36","18","50","9133.5"
"coloring","46","23","50","9286.58695652174"
"teflon","32","16","50","6761.4375"
"noodles","127","64","50.39370078740157","16832.976377952757"
"butter","345","174","50.43478260869565","18328.840579710144"
"food-science","604","305","50.496688741721854","11184.85761589404"
"microwave","293","148","50.51194539249146","22044.409556313993"
"whipped-cream","97","49","50.51546391752577","14881.711340206186"
"lamb","85","43","50.588235294117645","9448.517647058823"
"roasting","241","122","50.62240663900415","13434.439834024895"
"freezing","580","294","50.689655172413794","14440.70172413793"
"dough","564","286","50.70921985815603","14231.52304964539"
"eggs","751","381","50.7323568575233","19848.1344873502"
"cocoa","67","34","50.74626865671642","7674.611940298508"
"wheat","67","34","50.74626865671642","4342.611940298508"
"dessert","264","134","50.75757575757576","8634.810606060606"
"ribs","65","33","50.76923076923077","23795.092307692306"
"fish","429","218","50.815850815850816","13386.804195804196"
"popcorn","59","30","50.847457627118644","20829.84745762712"
"dutch-oven","59","30","50.847457627118644","8946.525423728814"
"olive-oil","114","58","50.877192982456144","11892.938596491229"
"salmon","100","51","51","13811.49"
"sugar","429","219","51.048951048951054","11819.962703962705"
"nuts","141","72","51.06382978723404","12234.673758865249"
"defrosting","141","72","51.06382978723404","45613.035460992905"
"chocolate","503","257","51.0934393638171","9971.72763419483"
"rice","411","211","51.338199513382","21808.31386861314"
"jerky","35","18","51.42857142857142","12112.628571428571"
"milk","375","193","51.46666666666667","17038.312"
"lemon","101","52","51.48514851485149","16452.148514851484"
"meat","743","383","51.54777927321669","19793.71197846568"
"mistakes","31","16","51.61290322580645","6885.129032258064"
"smoothie","31","16","51.61290322580645","11717.548387096775"
"proofing","60","31","51.66666666666667","15672.083333333334"
"shopping","116","60","51.724137931034484","7743.732758620689"
"salad","77","40","51.94805194805194","7518"
"seasoning-pans","127","66","51.96850393700787","12212.346456692914"
"sous-vide","278","145","52.15827338129496","6168.946043165468"
"flour","386","202","52.331606217616574","12596.505181347151"
"brown-sugar","42","22","52.38095238095239","15331.738095238095"
"reduction","42","22","52.38095238095239","17460.619047619046"
"ginger","78","41","52.56410256410257","16353.320512820514"
"seeds","78","41","52.56410256410257","20460.48717948718"
"chinese-cuisine","194","102","52.57731958762887","14177.072164948453"
"cutting","95","50","52.63157894736842","7626.715789473684"
"citrus","55","29","52.72727272727272","11242.10909090909"
"fat","201","106","52.736318407960205","13112.706467661692"
"crepe","36","19","52.77777777777778","10875.777777777777"
"biscuits","36","19","52.77777777777778","5763.416666666667"
"mint","36","19","52.77777777777778","8257.944444444445"
"oil","494","261","52.834008097166","16006.572874493928"
"indian-cuisine","295","156","52.88135593220339","12611.613559322033"
"nutrient-composition","170","90","52.94117647058824","7573.7588235294115"
"pressure-canner","34","18","52.94117647058824","4763.735294117647"
"rice-cooker","85","45","52.94117647058824","32312.235294117647"
"sauce","664","352","53.01204819277109","14269.031626506025"
"cookware","260","138","53.07692307692308","14534.026923076923"
"organization","32","17","53.125","2540.65625"
"scrambled-eggs","32","17","53.125","40836.8125"
"stews","111","59","53.153153153153156","14507.495495495496"
"stove","126","67","53.17460317460318","22604.873015873014"
"soup","376","200","53.191489361702125","13886.566489361701"
"ganache","30","16","53.333333333333336","8091.2"
"kitchen","30","16","53.333333333333336","5378.233333333334"
"pizza","373","199","53.35120643431635","17501.951742627345"
"dumplings","58","31","53.44827586206896","7558.224137931034"
"steak","258","138","53.48837209302325","19612.1511627907"
"stock","200","107","53.5","10119.37"
"refrigerator","293","157","53.58361774744027","33301.00341296929"
"equipment","1328","712","53.6144578313253","11144.83358433735"
"spicy-hot","110","59","53.63636363636364","9086.118181818181"
"steaming","151","81","53.64238410596026","9852.271523178808"
"storage-lifetime","473","254","53.69978858350951","29717.359408033826"
"squash","54","29","53.70370370370371","11394.907407407407"
"tenderizing","54","29","53.70370370370371","35436.77777777778"
"acidity","67","36","53.73134328358209","7695.7164179104475"
"fruit","394","212","53.80710659898477","13448.322335025381"
"hot-sauce","52","28","53.84615384615385","10334.865384615385"
"carrots","52","28","53.84615384615385","21361.634615384617"
"dairy","102","55","53.92156862745098","10637.990196078432"
"vacuum","63","34","53.96825396825397","6125.269841269841"
"pan","209","113","54.066985645933016","13597.282296650717"
"corn","85","46","54.11764705882353","18116.823529411766"
"conversion","59","32","54.23728813559322","26586.64406779661"
"pasta","446","242","54.26008968609865","22651.863228699553"
"sauerkraut","46","25","54.347826086956516","8404.152173913044"
"frying-pan","114","62","54.385964912280706","13326.82456140351"
"spices","395","215","54.43037974683544","11876.620253164558"
"glass","55","30","54.54545454545454","34920.454545454544"
"pasteurization","33","18","54.54545454545454","5708.454545454545"
"american-cuisine","33","18","54.54545454545454","8538.818181818182"
"garlic","218","119","54.58715596330275","18798.646788990827"
"cleaning","425","232","54.58823529411765","14942.588235294117"
"reheating","161","88","54.6583850931677","22765"
"fire","42","23","54.761904761904766","12724.380952380952"
"thai-cuisine","84","46","54.761904761904766","22903.166666666668"
"sushi","115","63","54.78260869565217","17354.678260869565"
"vietnamese-cuisine","31","17","54.83870967741935","5109.967741935484"
"foam","31","17","54.83870967741935","9126.290322580646"
"muffins","62","34","54.83870967741935","14045.290322580646"
"marinade","155","85","54.83870967741935","17014.483870967742"
"pancakes","113","62","54.86725663716814","19448.513274336285"
"gas","82","45","54.87804878048781","12727.378048780487"
"sharpening","71","39","54.929577464788736","7139"
"presentation","40","22","55.00000000000001","6230.775"
"oranges","49","27","55.10204081632652","12540.918367346938"
"spaghetti","49","27","55.10204081632652","44509.5306122449"
"lasagna","58","32","55.172413793103445","33682.56896551724"
"sweet-potatoes","47","26","55.319148936170215","21808.31914893617"
"bones","65","36","55.38461538461539","8565.8"
"vanilla","74","41","55.4054054054054","11341.743243243243"
"ice-cream","207","115","55.55555555555556","8627.821256038647"
"smoking","131","73","55.72519083969466","10324.435114503816"
"measurements","182","102","56.043956043956044","28127.56043956044"
"herbs","198","111","56.060606060606055","15802.20202020202"
"grilling","249","140","56.22489959839358","14367.79919678715"
"roux","64","36","56.25","17719.90625"
"tasting","32","18","56.25","2326.28125"
"water","206","116","56.310679611650485","18892.252427184467"
"duck","55","31","56.36363636363636","8222"
"emulsion","78","44","56.41025641025641","5323.25641025641"
"ceramic","39","22","56.41025641025641","22327.53846153846"
"tea","301","170","56.47840531561462","14148.431893687708"
"color","92","52","56.52173913043478","6773.217391304348"
"utensils","122","69","56.557377049180324","10890.319672131147"
"thickening","122","69","56.557377049180324","19291.45901639344"
"salad-dressing","53","30","56.60377358490566","17250.150943396227"
"vegetarian","120","68","56.666666666666664","7873.058333333333"
"salt","361","205","56.78670360110804","14098.54293628809"
"buttermilk","44","25","56.81818181818182","9124.818181818182"
"consistency","51","29","56.86274509803921","9932.156862745098"
"resources","58","33","56.896551724137936","3473.362068965517"
"tempering","58","33","56.896551724137936","2615.5862068965516"
"kneading","65","37","56.92307692307692","20596.938461538462"
"bananas","72","41","56.94444444444444","29171.11111111111"
"chili-peppers","214","122","57.009345794392516","10615.08878504673"
"brisket","42","24","57.14285714285714","8034.476190476191"
"roast-beef","35","20","57.14285714285714","8158.885714285714"
"cast-iron","306","175","57.18954248366013","15156.111111111111"
"cheese-making","89","51","57.30337078651685","11809.741573033707"
"egg-whites","89","51","57.30337078651685","13431"
"custard","82","47","57.3170731707317","8248.585365853658"
"cornstarch","47","27","57.446808510638306","14099.340425531915"
"vegetables","495","285","57.57575757575758","10116.711111111112"
"juice","92","53","57.608695652173914","8314.91304347826"
"drinks","144","83","57.638888888888886","9122.125"
"braising","52","30","57.692307692307686","7068.826923076923"
"storage-method","643","371","57.698289269051315","22340.85069984448"
"baking-powder","71","41","57.74647887323944","19714.605633802817"
"mushrooms","109","63","57.798165137614674","11912.165137614678"
"asian-cuisine","176","102","57.95454545454546","17708.545454545456"
"bacon","112","65","58.03571428571429","21651.678571428572"
"juicing","31","18","58.06451612903226","9395.935483870968"
"food-identification","215","125","58.139534883720934","3586.827906976744"
"alcohol","183","107","58.46994535519126","16722.535519125682"
"espresso","53","31","58.490566037735846","17876.962264150945"
"peanuts","41","24","58.536585365853654","10325.048780487805"
"non-stick","92","54","58.69565217391305","12757.967391304348"
"oats","63","37","58.730158730158735","10194.761904761905"
"blender","80","47","58.75","10399.1125"
"basil","34","20","58.82352941176471","44672.294117647056"
"hamburgers","102","60","58.82352941176471","25132.725490196077"
"wine","163","96","58.895705521472394","18802.53374233129"
"poultry","39","23","58.97435897435898","30349.4358974359"
"curry","169","100","59.171597633136095","20351.31952662722"
"avocados","54","32","59.25925925925925","19739.09259259259"
"pizza-stone","54","32","59.25925925925925","16421.87037037037"
"shrimp","59","35","59.32203389830508","17312.694915254237"
"chickpeas","52","31","59.61538461538461","17917.51923076923"
"skillet","57","34","59.64912280701754","12008.438596491229"
"spanish-cuisine","45","27","60","9863.222222222223"
"ground-beef","65","39","60","45634.984615384616"
"frying","444","267","60.13513513513513","16922.90765765766"
"boiling","296","178","60.13513513513513","21439.462837837837"
"coffee","367","221","60.217983651226156","22357.517711171662"
"maintenance","68","41","60.29411764705882","13566.235294117647"
"cutting-boards","53","32","60.37735849056604","14920.603773584906"
"thanksgiving","38","23","60.526315789473685","28391.473684210527"
"barbecue","193","117","60.62176165803109","11601.098445595855"
"ingredient-selection","189","115","60.84656084656085","7463.338624338624"
"omelette","36","22","61.111111111111114","23999.555555555555"
"risotto","36","22","61.111111111111114","21462.527777777777"
"onions","225","138","61.33333333333333","20567.826666666668"
"beer","57","35","61.40350877192983","17706.315789473683"
"japanese-cuisine","148","91","61.48648648648649","7712.844594594595"
"baking-soda","86","53","61.627906976744185","20291.53488372093"
"pineapple","34","21","61.76470588235294","11075.5"
"skin","34","21","61.76470588235294","12584.617647058823"
"melting-chocolate","74","46","62.16216216216216","17714.35135135135"
"italian-cuisine","205","128","62.4390243902439","22188.8"
"caffeine","32","20","62.5","19164.65625"
"condiments","32","20","62.5","7941.875"
"spinach","40","25","62.5","23951.425"
"honey","91","57","62.637362637362635","10979.945054945056"
"sausages","127","80","62.99212598425197","19169.33070866142"
"french-cuisine","90","57","63.33333333333333","6404.5888888888885"
"culinary-uses","151","96","63.576158940397356","11920.19867549669"
"grinding","66","42","63.63636363636363","9039.10606060606"
"tortilla","45","29","64.44444444444444","14602.266666666666"
"language","246","159","64.63414634146342","15479.524390243903"
"history","91","59","64.83516483516483","7260.142857142857"
"creme-brulee","37","24","64.86486486486487","7956.459459459459"
"middle-eastern-cuisine","61","40","65.57377049180327","8808.245901639344"
"greens","32","21","65.625","6597.3125"
"eggplant","36","24","66.66666666666666","9677.805555555555"
"ripe","45","30","66.66666666666666","25944.266666666666"
"sandwich","57","38","66.66666666666666","24171.052631578947"
"cocktails","79","53","67.08860759493672","13647.037974683544"
"knives","192","129","67.1875","8303.302083333334"
"budget-cooking","40","27","67.5","23377.375"
"knife-skills","99","67","67.67676767676768","9059.70707070707"
"stir-fry","65","44","67.6923076923077","11923.646153846154"
"mexican-cuisine","118","81","68.64406779661016","20459.65254237288"
"packaging","37","26","70.27027027027027","8893.621621621622"
"peeling","60","43","71.66666666666667","19890.283333333333"
"calories","47","34","72.3404255319149","13519.468085106382"
"camping","31","23","74.19354838709677","11996.41935483871"
"sauteing","80","61","76.25","12467.1875"
"bechamel","30","24","80","10346.966666666667"
